Respondents ,M1,M2,M3,M4,M5,M6,M7,E1,E2,E3,E4,PQ1,PQ2,PQ3,PQ4,PQ5,PQ6,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,LC1,LC2,LC3,LC4,LC5
31,5,3,5,3,5,5,3,2,2,5,1,3,1,4,3,4,4,3,5,5,5,3,5,5,3,2,2,5,1,3
32,3,3,2,3,4,4,1,2,1,2,4,2,4,2,2,2,4,4,2,4,4,4,4,4,1,2,1,2,4,2
33,3,3,4,2,2,2,2,2,1,4,3,3,2,4,3,4,2,2,4,3,3,2,2,2,2,2,1,4,3,3
34,2,1,4,2,5,5,1,1,1,3,3,1,4,4,3,4,2,2,5,2,4,2,5,5,1,1,1,3,3,1
35,3,3,4,3,4,5,3,3,3,3,2,2,3,4,3,4,4,4,4,3,4,3,4,5,3,3,3,3,2,2
36,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4
37,2,2,5,4,3,4,2,3,3,4,4,4,3,4,4,4,4,4,5,4,5,4,3,4,2,3,3,4,4,4
38,3,3,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
39,1,1,3,3,3,4,1,1,1,5,3,3,3,5,5,5,5,5,5,5,5,3,3,4,1,1,1,5,3,3
40,5,4,5,5,4,5,4,4,5,5,4,4,2,5,5,5,5,4,5,5,5,5,4,5,4,4,5,5,4,4
41,3,3,5,1,1,1,3,3,1,3,3,5,3,4,4,2,1,3,3,4,3,1,1,1,3,3,1,3,3,5
42,2,2,3,3,4,4,2,2,2,4,3,2,4,4,4,4,4,3,3,2,4,3,4,4,2,2,2,4,3,2
43,2,4,4,2,3,3,2,2,2,2,4,2,3,3,3,3,2,3,3,3,3,2,3,3,2,2,2,2,4,2
44,4,4,4,2,2,2,1,1,1,4,3,1,2,2,3,3,3,2,4,2,3,2,2,2,1,1,1,4,3,1
45,3,3,4,3,4,4,3,3,3,4,3,3,3,4,4,4,3,3,4,3,3,3,4,4,3,3,3,4,3,3
46,4,4,5,4,4,4,4,4,4,5,3,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,3,4
47,3,2,2,1,3,3,3,3,3,4,2,2,2,4,4,4,4,2,4,3,4,1,3,3,3,3,3,4,2,2
